,product,date,rating,title,reviews,combined,sentiment,sentiment_taste,sentiment_flavor,sentiment_price,sentiment_package,sentiment_value,sentiment_packaging
148,Amazon.com: Customer reviews: Alani Energy Drink,"July 20, 2023",2.0,open package,one drink exploded broke open package wet,open package one drink exploded broke open package wet,0,,,,-0.4215,,
149,Amazon.com: Customer reviews: Alani Energy Drink,"July 19, 2023",2.0,great taste cans erupt,cans arrived dented box big deal however every time open one fizz overflow place shake freeze weird still taste great get drink maybe,great taste cans erupt cans arrived dented box big deal however every time open one fizz overflow place shake freeze weird still taste great get drink maybe,0,0.7906,,,,,
155,Amazon.com: Customer reviews: Alani Energy Drink,"June 10, 2023",2.0,can dropped top lip evident,good price damaged product,can dropped top lip evident good price damaged product,0,,,0.2023,,,
159,Amazon.com: Customer reviews: Alani Energy Drink,"March 15, 2023",2.0,,really excited try drink due good review ca say anything flavor opinion cherry slush flavor tasted artificially sweet gave bad aftertaste really disappointed flavor sad can probably wo drinking flavor good overly ca get past artificially sweet taste aftertaste gave want try another flavor scared order another pack, really excited try drink due good review ca say anything flavor opinion cherry slush flavor tasted artificially sweet gave bad aftertaste really disappointed flavor sad can probably wo drinking flavor good overly ca get past artificially sweet taste aftertaste gave want try another flavor scared order another pack,0,0.1621,0.1621,,,,
165,Amazon.com: Customer reviews: Alani Energy Drink,"December 19, 2022",2.0,damaged packaging,product delivered damaged packaging impacted individual can liquid volume carbonation flavor generally good product order frequently however throw away can due flavor loss carbonation made flavor flat can leaking disappointed,damaged packaging product delivered damaged packaging impacted individual can liquid volume carbonation flavor generally good product order frequently however throw away can due flavor loss carbonation made flavor flat can leaking disappointed,0,,-0.8074,,,,
166,Amazon.com: Customer reviews: Alani Energy Drink,"November 17, 2022",2.0,recent case tastes flat,ordered case flavor twice amazon first case excellent great love flavor however recent case taste extremely flat unlike normal cosmic stardust flavor make hesitate order third case unfortunate considering subscribing wish could request replacement recent case product eligible return,recent case tastes flat ordered case flavor twice amazon first case excellent great love flavor however recent case taste extremely flat unlike normal cosmic stardust flavor make hesitate order third case unfortunate considering subscribing wish could request replacement recent case product eligible return,0,0.9062,0.9062,,,,
168,Amazon.com: Customer reviews: Alani Energy Drink,"November 7, 2022",2.0,blueberry blue,wanting kick addiction branded energy drink decided try one alani first sip extremely sweet given ordered whole case obliged try least time gone can every time extremely saddened people drink sugar aspartame like drink taste wayyyy sweet blueberry flavor definitely gave blue sorry find next bevy make feel like drinking high fructose blue drink,blueberry blue wanting kick addiction branded energy drink decided try one alani first sip extremely sweet given ordered whole case obliged try least time gone can every time extremely saddened people drink sugar aspartame like drink taste wayyyy sweet blueberry flavor definitely gave blue sorry find next bevy make feel like drinking high fructose blue drink,0,0.8858,0.8858,,,,
171,Amazon.com: Customer reviews: Alani Energy Drink,"October 18, 2022",2.0,value,smasd one broke open,value smasd one broke open,0,,,,,-0.1027,-0.1027
172,Amazon.com: Customer reviews: Alani Energy Drink,"October 4, 2022",2.0,damaged can,multiple damaged can sent free packaged shipped box cans leaked can,damaged can multiple damaged can sent free packaged shipped box cans leaked can,0,,,,-0.5859,,
174,Amazon.com: Customer reviews: Alani Energy Drink,"September 17, 2022",2.0,damaged,package came damaged three can open spilled leaving well horrible fishy smell everything else dirty bad disappointed,damaged package came damaged three can open spilled leaving well horrible fishy smell everything else dirty bad disappointed,0,,,,-0.9493,,
177,Amazon.com: Customer reviews: Alani Energy Drink,"September 9, 2022",2.0,drinking,think picky come energy drink heck drinking flavor atrocious made face pucker upon first sip guess thats get trying buying pack super sour going something else next time,drinking think picky come energy drink heck drinking flavor atrocious made face pucker upon first sip guess thats get trying buying pack super sour going something else next time,0,,0.7184,,,,
178,Amazon.com: Customer reviews: Alani Energy Drink,"September 3, 2022",2.0,store,arrived covered something like another drink exploded fine washed went drink carbonated supposed taste normally buy grocery store decided buy bulk instead individual making mistake,store arrived covered something like another drink exploded fine washed went drink carbonated supposed taste normally buy grocery store decided buy bulk instead individual making mistake,0,0.2263,,,,,
